Industry,Weight
AUTOMOBILE,0.6188189801015064
CONSUMER GOODS,0.07417828083460888
ENERGY,0.007045033432691533
FINANCIAL SERVICES,0.2382482075243696
IT,0.04984492064770806
TELECOM,0.011866591476677677
