,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
BPCL.NS,9.24,9.66,1.14,2.27,0.82,0.0509
IBULHSGFIN.NS,13.42,0.0,0.0,3.81,1.4,0.0344
IOC.NS,7.43,4.15,0.47,1.48,0.55,0.06860000000000001
M&M.NS,0.0,19.96,1.44,0.0,0.68,0.0
NTPC.NS,12.28,9.76,0.72,1.25,0.61,0.032799999999999996
ONGC.NS,9.55,7.4,0.51,1.04,0.97,0.039900000000000005
POWERGRID.NS,12.68,0.0,0.0,1.91,0.52,0.0265
HINDPETRO.NS,6.8,0.0,0.0,1.92,0.89,0.0555
TATASTEEL.NS,4.36,0.0,0.0,0.97,1.25,0.0177
