,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
ADANIPORTS.NS,21.85,19.71,,3.81,1.64,0.0051
AXISBANK.NS,288.52,,,2.05,1.28,0.0092
ASIANPAINT.NS,61.4,39.17,3.49,16.01,0.73,0.0064
BAJAJ-AUTO.NS,19.87,15.98,1.36,4.62,1.08,0.02
BAJFINANCE.NS,44.15,,,21.64,1.17,0.0017000000000000001
