,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
ADANIPORTS.NS,21.96,19.81,0.0,3.83,1.65,0.0051
AXISBANK.NS,296.13,0.0,0.0,2.2,1.28,0.009300000000000001
ASIANPAINT.NS,61.16,44.05,3.6,15.95,0.73,0.0064
