Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS
2018-04-13,405.40,1344.80,165.35,789.60,170.95,182.50,197.50,333.75,594.05
2018-04-16,408.20,1372.15,165.00,801.45,174.10,181.50,199.20,331.40,591.60
2018-04-17,410.65,1357.25,167.20,809.35,176.95,180.80,204.90,330.05,596.05
2018-04-18,405.20,1369.60,164.95,798.30,178.55,182.10,205.00,319.60,601.60
2018-04-19,376.55,1367.55,157.95,801.90,177.55,183.95,208.10,301.50,621.95
2018-04-20,371.40,1356.05,160.10,799.50,174.35,182.35,207.20,299.05,606.20
2018-04-23,381.35,1321.10,161.70,824.30,173.60,181.05,206.80,304.30,606.60
2018-04-24,383.70,1329.25,163.05,838.55,172.85,182.65,206.45,306.00,597.55
2018-04-25,385.80,1323.40,160.60,853.85,171.85,179.45,207.35,298.05,586.20
2018-04-26,385.50,1310.45,161.15,858.15,172.00,180.80,207.00,296.35,578.20
2018-04-27,390.15,1316.55,162.90,862.70,170.75,180.70,207.90,305.95,589.80
2018-04-30,387.35,1307.00,162.30,873.30,172.15,180.55,207.85,304.50,594.95
2018-05-02,380.95,1298.05,161.15,863.15,170.40,180.05,205.15,297.40,574.50
2018-05-03,377.70,1271.95,161.70,865.10,174.30,181.10,206.45,294.85,585.45
2018-05-04,380.20,1249.25,161.50,854.30,170.90,180.25,207.40,294.85,580.75
2018-05-07,385.80,1244.25,164.30,885.60,170.50,183.90,209.30,297.00,596.45
2018-05-08,392.60,1236.35,166.55,865.30,171.40,183.10,212.75,307.00,596.35
2018-05-09,385.45,1236.25,167.20,860.10,170.40,182.85,211.85,305.25,603.15
2018-05-10,390.20,1208.65,167.95,856.50,168.50,188.25,208.00,307.90,594.15
2018-05-11,399.30,1239.95,169.10,869.10,167.45,187.50,206.85,318.75,607.25
2018-05-14,404.20,1216.70,168.40,852.65,171.65,187.25,209.05,321.00,610.35
2018-05-15,405.80,1199.90,167.20,847.05,170.10,189.00,213.85,323.45,625.95
2018-05-16,398.35,1184.80,165.95,853.10,170.00,186.20,213.45,318.40,621.25
2018-05-17,390.60,1178.10,164.75,849.00,167.10,188.60,213.45,317.50,610.30
2018-05-18,386.35,1139.05,163.70,836.00,166.60,185.05,212.95,312.00,591.40
2018-05-21,393.85,1108.35,165.15,825.95,164.40,185.75,212.65,312.85,577.00
2018-05-22,397.60,1113.50,160.50,830.20,165.15,185.20,210.75,311.85,576.80
2018-05-23,373.95,1121.05,153.50,831.80,166.55,175.40,211.30,287.00,540.05
2018-05-24,371.35,1111.80,155.90,843.05,165.05,167.70,211.75,283.25,548.20
2018-05-25,380.55,1172.10,163.45,857.70,165.30,175.45,212.05,295.20,568.25
2018-05-28,402.00,1215.20,170.45,849.95,167.70,175.60,206.95,313.10,576.65
2018-05-29,405.35,1220.25,172.45,870.25,165.95,175.55,207.00,315.05,575.35
2018-05-30,400.25,1229.75,170.80,897.95,165.30,174.00,209.50,306.85,577.90
2018-05-31,403.95,1242.70,174.10,922.95,167.55,177.90,209.45,311.85,575.65
2018-06-01,409.25,1233.35,172.35,901.60,164.35,173.20,205.95,312.15,560.65
2018-06-04,408.50,1173.95,173.80,914.50,162.05,171.10,201.70,312.20,566.15
2018-06-05,405.35,1145.00,173.95,901.30,161.30,171.20,198.85,314.75,572.10
2018-06-06,410.00,1180.10,174.90,914.30,162.50,170.30,201.10,310.80,579.75
2018-06-07,,1208.20,,920.30,162.50,172.65,202.75,315.00,602.10
2018-06-08,,1203.90,,911.65,161.45,173.70,197.90,311.30,600.50
2018-06-11,,1202.55,,916.85,161.75,173.30,195.70,314.45,588.65
2018-06-12,,1220.75,,917.60,161.30,171.40,195.05,316.90,580.00
2018-06-13,,1210.05,,917.65,160.25,170.00,198.15,313.90,567.60
2018-06-14,,1186.20,,922.05,158.40,,198.85,309.75,569.55
2018-06-15,,1191.00,,909.45,156.05,,197.85,306.35,566.00
2018-06-18,,1199.95,,913.90,157.00,,198.65,322.10,558.50
