,Weight
BAJAJ-AUTO.NS,0.1171790315236356749394551162
BAJAJFINSV.NS,0.2447907222269234333885389845
INFRATEL.NS,0.01452511363357103
HEROMOTOCO.NS,0.1442964877752713
HINDUNILVR.NS,0.047596017224708
ITC.NS,0.011077850751547724
IOC.NS,0.00781963104327216
INFY.NS,0.05136946281274807283922260772
MARUTI.NS,0.3613491938766052957128983773
