Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS,Portfolio Value
2017-05-12,4887.70,10538.00,2174.50,6839.20,1588.50,1848.50,2062.50,3571.30,4160.60,37670.799999999996
2017-05-15,4852.30,10628.00,2210.50,6878.30,1597.50,1867.50,2067.00,3581.00,4345.00,38027.1
2017-05-16,4888.70,10531.00,2233.00,6831.70,1599.50,1851.50,2074.00,3613.30,4349.70,37972.399999999994
2017-05-17,4849.70,10820.00,2221.30,6894.00,1589.00,1845.00,2088.00,3623.70,4705.60,38636.299999999996
2017-05-18,4766.00,10538.00,2199.50,6764.20,1578.00,1809.00,2082.50,3556.30,4632.70,37926.2
2017-05-19,4683.00,10400.00,2177.00,6667.00,1591.00,1800.50,2057.50,3475.70,4663.60,37515.299999999996
2017-05-22,4637.30,10526.00,2126.80,6531.30,1582.00,1771.50,2025.00,3404.30,4634.10,37238.3
2017-05-23,4663.70,10503.50,2121.30,6658.80,1569.50,1746.50,2014.00,3330.70,4672.20,37280.200000000004
2017-05-24,4746.00,10393.00,2152.70,6543.30,1564.50,1737.00,1999.00,3331.30,4605.10,37071.9
2017-05-25,4845.70,10456.00,2194.80,6637.50,1563.50,1741.50,1989.50,3392.00,4617.90,37438.4
2017-05-26,4997.70,10860.50,2130.20,6704.20,1560.00,1757.50,2022.00,3784.00,4875.60,38691.7
