,returns,standard_deviation,sharpe_ratio,BAJAJ-AUTO.NS,BAJAJFINSV.NS,INFRATEL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ITC.NS,IOC.NS,INFY.NS,MARUTI.NS
0,0.23629111797258454,0.12131605392913357,1.9477316506734823,0.03818102884034707,0.07036609280160633,0.17624166630272045,0.11625368419573104,0.12276600195925634,0.062117447851131324,0.13335521412995305,0.13107698749071672,0.14964187642853766
1,0.26744499680767986,0.13244982228791113,2.019217483178835,0.19054152151199286,0.20526450555753104,0.01367822006514963,0.11931112101633888,0.023467416046238865,0.08912419369203377,0.16015431623149484,0.09298234460097382,0.10547636127824626
2,0.20159040641478215,0.12641959168312164,1.5946136491255305,0.2304049375930252,0.14169646810321632,0.17227395340637022,0.06776123589471142,0.004542370964567892,0.044483069569760524,0.014586226687110283,0.21346163963634301,0.11079009814489502
3,0.20210465449306003,0.12421234009502408,1.6270899842837458,0.17085101782485795,0.08462377879519781,0.13325336517165884,0.11633265940510028,0.07172074953446197,0.16302392234339602,0.1405524390714754,0.06382754226214686,0.055814525591704835
4,0.30956701428765876,0.13389976290648264,2.311931011437746,0.09157825689234045,0.19977472057293857,0.048766534714573186,0.025492468775278884,0.18149053092013265,0.04067169497910863,0.23945880038205022,0.12652931055866906,0.04623768220490846
5,0.2617561541359358,0.1265658535379411,2.068141973675927,0.13633439905343397,0.16720837103889713,0.13874877441642808,0.11247847582117726,0.11187143695218936,0.020139152122033526,0.10856553599289841,0.08766050221900953,0.11699335238393269
6,0.22012765420603278,0.12221374448674073,1.8011693785383933,0.11643126790818771,0.08006559407404774,0.1658929045066513,0.11743764698119948,0.10264990234087228,0.111508126907406,0.11379171475302668,0.07332891241651512,0.1188939301120938
7,0.2877693642556195,0.12204952145720288,2.357808214401946,0.13489813801328635,0.09484347048951768,0.0037586162210270168,0.18198321277022259,0.16424103714563523,0.05826603542444163,0.14061434391105865,0.058835084697842474,0.16256006132696846
8,0.23196670811706607,0.12174157879811164,1.905402496067056,0.0654009654831158,0.16880002888450238,0.12157530177215374,0.07035732561781312,0.09372707231607508,0.23632315692109956,0.01578320900140312,0.22797864204528814,5.429795854897325e-05
9,0.250322422926143,0.11679252671474301,2.14330856577439,0.16333845295356345,0.15105227769830035,0.1036836983763183,0.05499181709554203,0.14912591141488807,0.13701789601247255,0.058697411774712896,0.1505565568889292,0.03153597778527319
10,0.23078533325305353,0.12771125817396184,1.8070868344174433,0.040094058671297866,0.1680425747217358,0.18970784669992402,0.19023801547760047,0.05438553454085696,0.08649722236208054,0.06692790309251842,0.11608151622811269,0.08802532820587322
11,0.26175906189211695,0.11974633536756397,2.185946326362655,0.14342522457734524,0.07205289782487666,0.0394803371014621,0.11538720522909125,0.13277836658320594,0.08928551804168254,0.17346293904789953,0.07701872553352851,0.1571087860609084
12,0.31437411970009976,0.1335266858307497,2.3543916914000342,0.001912860548424562,0.18388441887718798,0.06097402190229441,0.019832446361002617,0.20963776205510948,0.046570984969952677,0.24742828507073247,0.20280725318280157,0.02695196703249422
13,0.23244011705095893,0.12252400918577863,1.8970985245717724,0.25581648145684927,0.037443672950116046,0.17558948058336898,0.013821075898304194,0.22786314393754264,0.03894932570382774,0.04474770097091535,0.08200077575896796,0.12376834274010778
14,0.23450787957732439,0.12460798897705362,1.8819650449579814,0.13720738625817214,0.1688377644704949,0.1542995161299321,0.12456257026093698,0.07419858921992042,0.10001079729820576,0.06734216254236638,0.097080973445323,0.07646024037464821
15,0.28278980419994876,0.1258673024509243,2.246729680333052,0.1983824096496781,0.15141110250483386,0.10978289248928523,0.12560863050869728,0.2201437692812883,0.06159242568602915,0.007456863049154343,0.007508218925923359,0.11811368790511048
16,0.23904566103583413,0.151274605862015,1.5802101064727243,0.06773656123018869,0.2495799828483433,0.2348010978808443,0.23454925553235453,0.060905981790432336,0.00037230856345721113,0.1139632296780571,0.035304415156330454,0.0027871673199922
17,0.2030858746685084,0.12210853962078153,1.6631586562185485,0.10898720972100408,0.06710049950498945,0.19468750875989965,0.0741520207813394,0.05636234154068865,0.10954605459793326,0.10309024191790543,0.13294423480211695,0.15312988837412322
18,0.19141633067147082,0.12895800193456136,1.4843307728093011,0.20519731822816395,0.05874088613525601,0.16718874637639877,0.11897880111989938,0.017486712526371243,0.1429140276300348,0.06806698964354506,0.01574877316178156,0.20567774517854925
19,0.23162353517559614,0.1317637448924949,1.757870007144804,0.10134335741496829,0.13916256182121095,0.18130877709601215,0.0596929791960306,0.011667770472779821,0.047515240198746846,0.15992602415559368,0.10196755697064173,0.19741573267401588
20,0.26843913345550435,0.13252512158704977,2.0255716821144647,0.14246068987585533,0.1609339415921298,0.15279060268120168,0.03281104215653177,0.1871429004427828,0.04920374262888037,0.17971463521069292,0.044337334939375084,0.05060511047255021
21,0.2660408900321725,0.11883347082031197,2.238770677955311,0.15722638524892393,0.16534585928705053,0.08119311523852833,0.029144764687285784,0.08791026668129566,0.05920829084004073,0.10265539380575796,0.1899818668352309,0.12733405737588616
22,0.222701542519764,0.11907903138269732,1.8701994795712076,0.09379513643375521,0.014985394293973449,0.1318808655038778,0.09677244112160086,0.1337263869191745,0.22173052594353984,0.05589326194869293,0.04912033546982856,0.20209565236555682
23,0.24556883468616922,0.12103050281010704,2.028983016549628,0.011231525300460383,0.1369828762070225,0.11108766621301741,0.20381474091376492,0.10778950845660058,0.07463066455790929,0.11631727010592374,0.22272224864691628,0.015423499598384832
