Industry,Weight
CEMENT & CEMENT PRODUCTS,0.3668576267809106
ENERGY,0.017480322805619203
FINANCIAL SERVICES,0.042119159111288246
IT,0.45363654478429805
MEDIA & ENTERTAINMENT,0.056067550064760385
METALS,0.06383879645312346
