,returns,standard_deviation,sharpe_ratio,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS
159,0.2587775102319495,0.14024847542428806,1.8451359948768093,0.18584139921694595,0.07956489454585922,0.07910809961464275,0.15195367361270218,0.05513372562400517,0.0048185649890941495,0.20893824426188695,0.16121474445683734,0.02101184535867164,0.05241480831935463
160,0.18498043722405938,0.14856864724891716,1.2450839436811767,0.04941670218406074,0.05224945812538955,0.09292271183912232,0.05996938243191548,0.1196480727219789,0.11434717394339021,0.10937220524360523,0.16459213535208161,0.15500237686357732,0.08247978129487857
161,0.1780965139602192,0.1322321123120929,1.3468476820507684,0.042786852617000055,0.09508078073933164,0.0653460353281197,0.1528395528650256,0.08119189517532148,0.1530814437602862,0.1638696240642589,0.09517451382479004,0.10915303468181957,0.04147626694404672
162,0.17733151124123336,0.1810783721770568,0.9793080703632581,0.1812023114698645,0.06270071003072657,0.05254345699040791,0.1489644659610328,0.1616528498867026,0.004688478131708595,0.0293270438992712,0.09454017449458033,0.14166106061853165,0.12271944851717402
163,0.2044314934031807,0.14121549712008902,1.4476562245100697,0.18636943279573748,0.16294158440733472,0.14257948846905302,0.009931133011737913,0.02759341166712018,0.15351184116310834,0.1198277723224851,0.016130993236211373,0.16503245076281997,0.01608189216439199
164,0.18180046274906325,0.17827512782940844,1.0197746873755054,0.12090866372858775,0.12843627380880349,0.10768514710962154,0.020638215197563068,0.1815785643350165,0.14961022937926235,0.04149765993752035,0.12429917844016418,0.057421602112536184,0.06792446595092454
165,0.16280888531646642,0.2084647361091017,0.7809900530671003,0.18847660109815484,0.07025017152015242,0.11711438715715172,0.06774735555885247,0.20363180034666162,0.02674489467999353,0.018579504182779604,0.013584449697484268,0.16757202646112615,0.12629880929764337
166,0.15588679941862096,0.18628278813981758,0.8368287858222178,0.0010893154378673494,0.1364018739484082,0.007660696055696701,0.05343723306889165,0.18930548073180956,0.08540260664467594,0.15379599822680676,0.08853038598289865,0.13565510322983784,0.14872130667310723
167,0.20122893189209187,0.15544011744527178,1.2945752692379537,0.041707476899556416,0.136188887084986,0.1714366098615262,0.053877921750522625,0.13283479128180384,0.16945684892676344,0.0643720287942847,0.13905162164120152,0.025753611438116497,0.06532020232123889
168,0.23073433740990687,0.16122939587033916,1.4310934812127167,0.10319527609700656,0.09711077948776795,0.1351860226265879,0.030236792936955185,0.032171202260224616,0.04836032532379269,0.15245903324239507,0.035863360019945764,0.17778890091402075,0.18762830709130365
169,0.1655399927744983,0.14021709950615344,1.1805977541792865,0.008038569552019644,0.10027873008835023,0.10041584467860343,0.08524925670337767,0.11164005254901384,0.10114522618052593,0.16958574860511105,0.08972450813249107,0.18865791643185076,0.04526414707865627
170,0.2125853256843207,0.1721744566403594,1.234708851896493,0.15981528557868205,0.11432212533635921,0.10436240265114873,0.1295285311217606,0.16940852808547238,0.010327520020353944,0.028113859386014236,0.17530143113212127,0.02079057290784594,0.08802974378024166
171,0.1678266534009311,0.17041814806953628,0.9847933175077822,0.06072217093221002,0.12495304009064823,0.07114013554094857,0.08652302426141463,0.1522342068899741,0.09308877168121728,0.06789167983290172,0.0852745670577149,0.13128754941481144,0.12688485429815896
172,0.20868078161498743,0.15311819164555993,1.3628738647726755,0.06603503319702,0.15233054119581738,0.04522815456664955,0.15408737432683106,0.030736269245351274,0.006550247674124469,0.0278124109825014,0.13628268150214298,0.1736874936440588,0.20724979366550297
173,0.17922743133115054,0.15081076717302397,1.188425963814138,0.12664996877018303,0.114733020949047,0.08535748698668222,0.14687388654186734,0.14383165481462684,0.12342439556635942,0.005597157537857099,0.17602578635296723,0.05471950344085614,0.022787139039553716
174,0.17037818747195208,0.1578220458101271,1.0795588575561303,0.06140778554686569,0.08015580044908852,0.09104805587533885,0.21185264194779624,0.12647583428060274,0.011005621642321098,0.105586087665013,0.041496391848317694,0.1505871645329603,0.12038461621169597
175,0.2563141082463675,0.17855567408992953,1.4354856520396824,0.2121272383365199,0.02739719570702321,0.11131407179840809,0.2084481225187583,0.03692262452298895,0.057343102332030625,0.016608615352182398,0.09567478166556485,0.01249573976042048,0.22166850800610335
176,0.25108516938483,0.15180740482833152,1.6539718182309013,0.18108660376004782,0.011863746255736456,0.23654765964188423,0.15457352652261802,0.07452240958365836,0.012105442016022575,0.20554029849839342,0.03137073543571708,0.04694258905429122,0.04544698923163094
177,0.2193341108132497,0.1561239619280938,1.4048715399258742,0.17140735965705037,0.011872671137377938,0.09885508031999603,0.05838629777304582,0.015536768194089737,0.15616662514804808,0.13137831842296055,0.046675027706923125,0.1694772841403215,0.14024456750018677
178,0.1791320214600825,0.18341205907006428,0.9766643609385205,0.02292255881071515,0.1037739764127455,0.04561641935401918,0.041081911947912025,0.15319847856056137,0.028181993546493683,0.17019812415570226,0.0667955795729519,0.17782742950812908,0.19040352813076977
179,0.18755354315809064,0.17963153224439724,1.0441014493096632,0.0534194367154042,0.06864975674770524,0.037473203054231116,0.11736963965465308,0.16415717869868485,0.13276671220983854,0.10825591028193057,0.12651475956224917,0.03329795062548888,0.15809545244981438
180,0.26969967634477415,0.15197202396019577,1.7746666084766587,0.03232860879333333,0.003088029963717276,0.28733928134765535,0.036197315354436564,0.02099003850743627,0.1655717389301135,0.059068394598803045,0.20210741202985513,0.04763154450823101,0.1456776359664185
181,0.20801336727459685,0.14709108246633412,1.4141806817024851,0.030538741589718366,0.10844849299944172,0.08131535042878775,0.15124094544229166,0.08057756460813917,0.13042789084587014,0.16791536821754025,0.08034007197707634,0.037947956218296275,0.13124761767283832
182,0.1916642607541957,0.12849707610913166,1.4915846068856586,0.034438440794787424,0.21121699797114302,0.05718392424029856,0.19414796582603105,0.06762586125158529,0.16795952043160037,0.13097234619887943,0.1261071619193131,0.0006292777637269053,0.009718503602634869
183,0.23872119179310414,0.12648510132564011,1.8873463300512245,0.15491614743683735,0.12658112217550058,0.05780162772378013,0.1645667770820878,0.013496556095557458,0.05371226107430413,0.18947382067165133,0.14624822330730097,0.0659617744202201,0.027241690012760236
184,0.21945860846489088,0.15734109178726852,1.3947952564204127,0.15057998782457774,0.12217408185023586,0.14062186936592921,0.10455011722911045,0.0682109171493977,0.12129983907860824,0.022625911397340857,0.08676737879697276,0.06022193631148632,0.12294796099634087
