,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
BAJAJ-AUTO.NS,20.06,16.26,1.62,4.15,1.04,0.0208
BAJAJFINSV.NS,35.27,0.0,0.0,4.66,0.93,0.0003
INFRATEL.NS,22.26,20.18,2.51,3.27,0.57,0.0467
HEROMOTOCO.NS,19.85,0.0,0.0,6.17,0.86,0.0258
HINDUNILVR.NS,78.64,0.0,0.0,52.19,0.48,0.0104
ITC.NS,29.35,23.2,2.12,6.26,0.81,0.0191
IOC.NS,8.26,4.13,0.47,1.61,0.73,0.0546
INFY.NS,,16.62,1.79,277.83,0.67,0.0004
MARUTI.NS,36.47,26.89,1.69,7.39,1.23,0.0083
