,Weight
BAJAJ-AUTO.NS,0.1016165272968071314502968526
BAJAJFINSV.NS,0.2122801561315166911859775168
INFRATEL.NS,0.012596038615810544
HEROMOTOCO.NS,0.1251325241230694
HINDUNILVR.NS,0.041274807622541966
ITC.NS,0.00960660545361775
IOC.NS,0.00678110871055757
INFY.NS,0.04454710328512172876866467018
MARUTI.NS,0.3133585398837749721318521573
ULTRACEMCO.NS,0.1328096334683351446173415010
